antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"elixir-golem, skeleton-king",OUTCOME=LOSS,0.012270531400966183,0.5876606683804627,1.1753213367609254,0.0018303811057434251,1.2125935162094763,0.020880300590445516,0.5
"graveyard, guards",OUTCOME=LOSS,0.012678475577026302,0.5875621890547263,1.1751243781094527,0.0018894256575415994,1.212303980699638,0.021578099838969404,0.5
"rage, skeleton-king",OUTCOME=LOSS,0.011239935587761674,0.5875420875420875,1.175084175084175,0.0016747181964573265,1.2122448979591836,0.019130434782608695,0.5
"goblin-machine, night-witch",OUTCOME=LOSS,0.011218464841653248,0.5857623318385651,1.1715246636771302,0.0016425120772946868,1.2070365358592694,0.019151905528717122,0.5
"night-witch, skeleton-king",OUTCOME=LOSS,0.010993022007514761,0.5844748858447488,1.1689497716894977,0.0015888352120236177,1.2032967032967032,0.018808373590982287,0.5
"arrows, elixir-golem, skeleton-king",OUTCOME=LOSS,0.010628019323671498,0.5844155844155845,1.168831168831169,0.0015351583467525503,1.2031250000000002,0.018185721953837896,0.5
"graveyard, witch-ev1",OUTCOME=LOSS,0.016360708534621578,0.5841318512840168,1.1682637025680336,0.002356414385399892,1.2023041474654377,0.02800858829844337,0.5
"elixir-golem, night-witch, skeleton-king",OUTCOME=LOSS,0.010381105743424584,0.5828812537673297,1.1657625075346594,0.0014761137949543743,1.1986994219653178,0.01780998389694042,0.5
"arrows, elixir-golem",OUTCOME=LOSS,0.01559849704777241,0.5823647294589178,1.1647294589178356,0.002206119162640902,1.1972168905950096,0.026784755770263017,0.5
"goblin-machine, skeleton-king",OUTCOME=LOSS,0.011046698872785829,0.5823429541595925,1.164685908319185,0.0015619967793880831,1.1971544715447153,0.01896940418679549,0.5
minions,OUTCOME=LOSS,0.014428341384863125,0.5808124459809854,1.1616248919619707,0.0020075147611379497,1.1927835051546394,0.02484165324745035,0.5
skeleton-army,OUTCOME=LOSS,0.010477724100912507,0.5788849347568209,1.1577698695136418,0.0014278046162104138,1.1873239436619718,0.018099838969404185,0.5
"arrows, giant",OUTCOME=LOSS,0.01628556092324208,0.5772450532724505,1.154490106544901,0.0021792807300053656,1.1827182718271825,0.02821256038647343,0.5
firecracker-ev1,OUTCOME=LOSS,0.03595276435856146,0.5752318790793542,1.1504637581587085,0.004702093397745577,1.1771128184391428,0.06250134192163177,0.5
"goblin-gang, mighty-miner",OUTCOME=LOSS,0.010381105743424584,0.5738872403560832,1.1477744807121664,0.001336553945249598,1.173398328690808,0.01808910359634997,0.5
"royal-hogs, zappies",OUTCOME=LOSS,0.017874396135265702,0.5721649484536083,1.1443298969072166,0.002254428341384864,1.1686746987951808,0.031239935587761676,0.5
"royal-hogs, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.01775630703166935,0.5711325966850829,1.1422651933701657,0.002211486849168009,1.1658615136876007,0.031089640365002683,0.5
"flying-machine, royal-hogs, zappies",OUTCOME=LOSS,0.01752012882447665,0.5708289611752361,1.1416579223504721,0.0021739130434782605,1.1650366748166259,0.030692431561996778,0.5
"arrows, bowler",OUTCOME=LOSS,0.012893183038110574,0.5708174904942965,1.141634980988593,0.0015995705850778315,1.1650055370985601,0.022587224906065486,0.5
"bowler, guards",OUTCOME=LOSS,0.012667740203972088,0.5700483091787439,1.1400966183574879,0.0015566290928609762,1.1629213483146066,0.022222222222222223,0.5
"flying-machine, zappies",OUTCOME=LOSS,0.018958668813741277,0.5696774193548386,1.1393548387096772,0.0023188405797101436,1.16191904047976,0.03327965646806227,0.5
"flying-machine, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.018851315083199142,0.5690213869086196,1.1380427738172392,0.0022866344605475056,1.1601503759398497,0.033129361245303274,0.5
"royal-recruits-ev1, zappies",OUTCOME=LOSS,0.019484702093397744,0.568787214039486,1.137574428078972,0.00235641438539989,1.159520348837209,0.03425657541599571,0.5
"arrows, skeletons-ev1",OUTCOME=LOSS,0.010542136339237788,0.5679583574320416,1.1359167148640832,0.0012614063338701013,1.1572958500669344,0.018561460010735373,0.5
night-witch,OUTCOME=LOSS,0.021320450885668276,0.567590740211489,1.135181480422978,0.002538915727321525,1.1563119629874423,0.0375630703166935,0.5
"goblin-cage-ev1, royal-hogs, zappies",OUTCOME=LOSS,0.017004830917874397,0.5675385166606951,1.1350770333213902,0.0020236178207192704,1.156172328086164,0.029962426194310252,0.5
"goblin-cage-ev1, zappies",OUTCOME=LOSS,0.01793880837359098,0.5672097759674134,1.1344195519348268,0.0021256038647342983,1.1552941176470588,0.03162640901771337,0.5
"flying-machine, goblin-cage-ev1, zappies",OUTCOME=LOSS,0.017713365539452495,0.5672052251632863,1.1344104503265726,0.0020987654320987637,1.1552819698173151,0.031229200214707462,0.5
"goblin-cage-ev1, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.017874396135265702,0.5669050051072523,1.1338100102145046,0.0021095008051529793,1.1544811320754715,0.031529790660225446,0.5
"arrows, night-witch",OUTCOME=LOSS,0.017101449275362317,0.566098081023454,1.132196162046908,0.001996779388083734,1.1523341523341522,0.030209339774557167,0.5
"fireball, royal-recruits-ev1",OUTCOME=LOSS,0.011411701556629093,0.566027689030884,1.132055378061768,0.0013311862587224912,1.1521472392638037,0.020161030595813204,0.5
"arrows, royal-hogs, zappies",OUTCOME=LOSS,0.015684380032206117,0.5654024767801857,1.1308049535603715,0.0018142780461621027,1.1504897595725734,0.02774020397208803,0.5
"barbarian-barrel, royal-hogs, zappies",OUTCOME=LOSS,0.015136876006441223,0.5649038461538461,1.1298076923076923,0.0017391304347826077,1.149171270718232,0.02679549114331723,0.5
"barbarian-barrel, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.01600644122383253,0.5645588792124195,1.129117758424839,0.0018303811057434251,1.1482608695652174,0.028352120236178207,0.5
"barbarian-barrel, flying-machine, zappies",OUTCOME=LOSS,0.01583467525496511,0.5640535372848949,1.1281070745697899,0.0017981749865807854,1.1469298245614037,0.02807300053676865,0.5
"goblin-cage-ev1, royal-hogs",OUTCOME=LOSS,0.01896940418679549,0.5620229007633587,1.1240458015267174,0.002093397745571657,1.1416122004357296,0.03375201288244767,0.5
"barbarian-barrel, zappies",OUTCOME=LOSS,0.016586151368760065,0.5620225536558748,1.1240451073117497,0.0018303811057434251,1.1416112956810631,0.02951154052603328,0.5
"arrows, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.017122920021470745,0.5618175413878126,1.1236350827756252,0.0018840579710144925,1.1410771704180065,0.030477724100912505,0.5
"flying-machine, goblin-cage-ev1, royal-recruits-ev1",OUTCOME=LOSS,0.019742351046698872,0.5616982284667074,1.1233964569334147,0.0021685453569511536,1.140766550522648,0.03514761137949544,0.5
"arrows, flying-machine, zappies",OUTCOME=LOSS,0.016736446591519055,0.5615994236311239,1.1231988472622478,0.0018357487922705303,1.1405094494658998,0.02980139559849705,0.5
"goblin-cage-ev1, royal-recruits-ev1",OUTCOME=LOSS,0.020332796564680622,0.5615179365549955,1.123035873109991,0.002227589908749328,1.1402974983096685,0.03621041331186259,0.5
"barbarian-barrel, goblin-cage-ev1, zappies",OUTCOME=LOSS,0.015394524959742351,0.5605942142298671,1.1211884284597342,0.0016639828234031127,1.137900355871886,0.027461084272678477,0.5
"goblin-cage-ev1, royal-hogs, royal-recruits-ev1",OUTCOME=LOSS,0.01866881374127751,0.5602448453608248,1.1204896907216495,0.0020075147611379497,1.136996336996337,0.03332259796027912,0.5
"royal-hogs, royal-recruits-ev1",OUTCOME=LOSS,0.021782071926999463,0.5597241379310345,1.119448275862069,0.002324208266237252,1.1356516290726817,0.03891572732152442,0.5
"arrows, goblin-cage-ev1, zappies",OUTCOME=LOSS,0.01585614600107354,0.5596816976127321,1.1193633952254642,0.001690821256038649,1.135542168674699,0.02833064949006978,0.5
"flying-machine, goblin-cage-ev1, royal-hogs",OUTCOME=LOSS,0.01840042941492217,0.5593994778067884,1.118798955613577,0.0019538378958668806,1.1348148148148147,0.03289318303811058,0.5
witch-ev1,OUTCOME=LOSS,0.0520450885668277,0.5590405904059041,1.1180811808118083,0.005496511003757386,1.1338912133891215,0.09309715512614063,0.5
zappies,OUTCOME=LOSS,0.021341921631776704,0.5588979477087433,1.1177958954174867,0.0022490606548577555,1.1335245379222436,0.038185721953837896,0.5
