antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"dark-prince, goblin-giant-ev1, sparky",OUTCOME=WIN,0.016414385399892647,0.5796057619408643,1.1592115238817287,0.002254428341384864,1.1893597835888188,0.028319914117015565,0.5
"dark-prince, sparky",OUTCOME=WIN,0.016886741814278045,0.5793738489871086,1.1587476979742173,0.0023134728931830367,1.1887040280210157,0.029146537842190016,0.5
"dark-prince, goblin-giant-ev1, heal-spirit",OUTCOME=WIN,0.010230810520665594,0.578627808136005,1.15725561627201,0.0013902308105206672,1.1865994236311244,0.017681159420289853,0.5
"dark-prince, electro-wizard, goblin-giant-ev1",OUTCOME=WIN,0.011336553945249597,0.5783132530120482,1.1566265060240963,0.0015351583467525486,1.1857142857142857,0.019602791196994096,0.5
"dark-prince, heal-spirit",OUTCOME=WIN,0.010413311862587225,0.5773809523809523,1.1547619047619047,0.0013955984970477724,1.1830985915492955,0.018035426731078906,0.5
"elite-barbarians, zap-ev1",OUTCOME=WIN,0.010950080515297906,0.5772495755517827,1.1544991511035654,0.0014653784219001605,1.1827309236947792,0.01896940418679549,0.5
"dark-prince, rage, sparky",OUTCOME=WIN,0.015566290928609769,0.5772292993630573,1.1544585987261147,0.0020826623725174447,1.1826741996233523,0.02696725711218465,0.5
"dark-prince, electro-wizard, sparky",OUTCOME=WIN,0.011358024691358024,0.5771958537915985,1.154391707583197,0.0015190552871712296,1.1825806451612906,0.01967793880837359,0.5
"goblin-giant-ev1, heal-spirit, sparky",OUTCOME=WIN,0.011250670960815888,0.5770925110132159,1.1541850220264318,0.0015029522275899088,1.1822916666666667,0.019495437466451958,0.5
"dart-goblin-ev1, goblin-barrel-ev1, goblin-gang",OUTCOME=WIN,0.015373054213633924,0.5764895330112721,1.1529790660225443,0.0020397208803005894,1.1806083650190113,0.02666666666666667,0.5
"electro-wizard, goblin-giant-ev1, heal-spirit",OUTCOME=WIN,0.010123456790123457,0.5764058679706602,1.1528117359413204,0.001341921631776705,1.1803751803751805,0.017563070316693505,0.5
